Community_Area_ID	Gravity_Metric
1	86180.426511666082661
2	115278.472418697390822
3	48950.818361700752575
4	78523.343518307170598
5	43448.656963807115972
6	95870.679008275779779
7	51402.879834791463509
8	83808.011349999229424
9	70610.200973905230057
10	66369.399207497714087
11	36047.550616713859199
12	41031.657906695130805
13	59559.275569506040483
14	41107.074800307855185
15	36157.060917370079551
16	99773.979584580083610
