ID;lng;lat
200;52.16133012;4.449606424
201;52.15315937;4.439670482
202;52.14686573;4.443103002
203;52.14145453;4.451232279
204;52.14951564;4.460264177
205;52.14907355;4.4642377
206;52.1510612;4.464418509
207;52.15470493;4.47110274
208;52.15801796;4.473631215
209;52.15956352;4.4788704
210;52.16199238;4.478689591
211;52.16342829;4.480134638
212;52.16331777;4.466767599
213;52.16552646;4.452315708
214;52.17060523;4.455386611
215;52.1696114;4.46857284
216;52.17137888;4.468393455
217;52.17380774;4.471283548
218;52.17060523;4.480315446
219;52.16685098;4.483386349
220;52.17424895;4.493682485
221;52.17745146;4.488444724
222;52.17601643;4.487721489
223;52.17943911;4.481218067
224;52.18308284;4.498921669
225;52.18385562;4.503799235
226;52.18275127;4.512650324
227;52.17921807;4.50650852
228;52.17634712;4.498379242
229;52.17557434;4.499824289
230;52.17248235;4.499102478
231;52.17237183;4.497115004
232;52.17104731;4.50741114
233;52.1704947;4.5151788
234;52.17380774;4.518972938
235;52.1816478;4.51861132
236;52.16552646;4.516985465
237;52.16011526;4.514997992
238;52.15525753;4.513914562
239;52.15591979;4.510120425
240;52.15580927;4.50397862
241;52.16276603;4.505785285
242;52.16718254;4.506146902
243;52.16398003;4.498921669
244;52.16409055;4.493140058
245;52.16486333;4.486998254
246;52.15636101;4.521139796
247;52.14708591;4.52402989
248;52.14542983;4.515902036
249;52.14134401;4.50994104
250;52.14465705;4.49964348
251;52.14752799;4.507230331
252;52.15084016;4.512469516
253;52.15338041;4.503437618
254;52.1528278;4.496572578
255;52.15360058;4.488804918
256;52.15095068;4.484831395
257;52.1492946;4.485373822
258;52.15625136;4.495127531
259;52.15923196;4.491515626
260;52.1603363;4.485734016
261;52.15492597;4.480134638
262;52.15139276;4.482122111
263;52.14057123;4.488263915
264;52.14001949;4.486457251
265;52.14189662;4.485914824
266;52.14013002;4.47977302
267;52.14200714;4.477785547
268;52.15393215;4.474173642
269;52.14918407;4.466405982
270;52.13681698;4.467851029
271;52.13372499;4.470560313
272;52.1276524;4.466044364
273;52.1285357;4.468934458
274;52.12400868;4.473812024
275;52.1195913;4.473450407
276;52.13118561;4.493682485
277;52.13758976;4.488444724
278;52.13957741;4.488985727
279;52.13968793;4.51174628
