ID;lat;lng;Population
2311;52.1570525354;4.48824015168;11355
2312;52.1623611248;4.49322147409;15260
2313;52.1516769342;4.50012209193;12375
2314;52.1505693846;4.51422822318;6200
2315;52.1646676045;4.51072629664;8715
2316;52.1694643288;4.49644770366;10725
2317;52.1775958695;4.50971978073;10720
2318;52.1812555145;4.50207943064;3245
2321;52.1491092254;4.48205783137;12795
2322;52.1392845177;4.49851613343;225
2323;52.1313711402;4.47972313952;170
2324;52.1446977088;4.4722739296;9965
2331;52.1517971636;4.44975413415;10705
2332;52.1607126352;4.46270430476;10545
2333;52.1691476399;4.46843153195;4300
2334;52.1752262197;4.48276011227;2805
