Community_Area_ID	Gravity_Metric
1	25667.212669058339088
2	217463.456411769991973
3	220141.615174629463581
4	163051.661650504276622
5	29673.253353711661475
6	29308.721508842343610
7	44450.243896907348244
8	28944.965334534968861
9	115494.879992314396077
10	28820.036683233516669
11	50453.582238143491850
12	31303.296475864965032
13	40520.345736776369449
14	26995.086579906765110
15	104567.177880669158185
16	254392.066482296009781
17	31816.104268022936594
18	35889.473521000902110
19	23710.386283447733149
20	30374.530598871591792
21	23768.794111007853644
22	41563.413503050745931
23	31215.781470707770495
24	55908.872611945822428
25	62454.978789153305115
26	105984.828262427545269
27	49592.522502707186504
28	30509.870075128626922
29	185358.545879778772360
30	25540.533907078399352
31	73433.434953848540317
32	24969.807380713180464
33	25445.598879616973136
34	28728.728098972685984
35	50987.899229496681073
36	78574.234040118404664
37	67591.433028034822200
38	94004.774759884065134
39	34112.678897808385955
40	103702.926916561074904
41	26270.882313253900065
42	90608.016086456264020
43	142052.762240291340277
44	58970.631580682726053
45	88891.076803483985714
46	72379.127346965105971
47	42107.223870247464220
48	29565.880532136015972
49	198775.918704360548873
50	117300.307154364112648
51	71276.953022329893429
52	30721.624177808633249
53	34376.149505636669346
54	98495.170089235150954
55	37215.267110315675382
56	26980.994112219883391
57	47593.955957783611666
58	32885.392955141986022
59	40026.830353602425021
60	492784.385575174994301
61	73838.978785369239631
62	134069.549653860769467
63	76709.227154282663832
64	39850.082970075709454
65	35202.638921017700341
66	48405.402226783866354
67	57132.443923861399526
68	26330.909882589116023
69	104530.448918092006352
70	39877.567895710788434
71	41071.898572944090120
72	85429.707411956347642
73	51361.795638698044058
74	51363.486166351794964
75	49107.045194552483736
76	153953.044528872123919
77	27802.159451902829460
78	80423.705502796699875
79	79282.503829042849247
80	30103.818742137857043
81	41721.723723377312126
82	30808.845221881987527
83	29774.011289898451651
84	30145.902758009258832
85	27268.117185061419150
86	25132.611116235293593
87	34070.681000258955464
88	30956.741524846522225
89	93741.635258469701512
90	35979.852341799145506
91	130651.931534899689723
92	23118.793386630833993
93	34679.031938387975970
94	88440.189099698109203
95	21865.725585371848865
96	29171.739929248342378
97	37824.127282557397848
98	195285.749689184216550
99	28909.164853745172877
100	25760.252509832953365
101	30632.296942610359110
