Community_Area_ID	Gravity_Metric
1	82750.345707041036803
2	112093.838568884122651
3	44494.326398333323596
4	75068.823241733189207
5	44538.305514252489957
6	91596.124265970618580
7	58257.267177993548103
8	82357.381558859589859
9	71709.457606498952373
10	66564.475025825726334
11	40443.832030554527591
12	44871.872648261451104
13	61342.351199274897226
14	44700.412064333795570
15	44683.622221087833168
16	94398.578375408484135
