from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
2861806,2861810,,,283884574,284600035,3,
2861806,2861810,,,283883777,283881723,3,
2861806,2861810,,,283882859,284598799,3,
2861806,2861810,,,283882859,283882027,3,
2861806,2861810,,,283883777,284598774,3,
2861806,2861810,,,283881637,283884488,3,
2861806,2861810,,,283881637,284596611,3,
2861806,2861810,,,283884574,283882375,3,
2861806,2861811,,,283883487,277458923,3,
2861806,2861811,,,283884812,283884207,3,
2861807,2861811,,,283881805,283882867,3,
2861808,2861809,,,260634094,260631397,3,
2861808,2861809,,,260634094,260631396,3,
2861810,2861808,,,277456971,260630323,3,
2861811,2861809,,,260631246,284595918,3,
2861811,2861809,,,284596874,260631257,3,
2861811,2861809,,,284596874,284595918,3,
2861811,2861809,,,260631246,260631257,3,
2861812,2861808,,,260633968,281483546,3,
2861812,2861808,,,285268377,260634108,3,
2861812,2861808,,,285240561,260634089,3,
2861812,2861808,,,260634064,260634084,3,
2861812,2861808,,,260634055,260634077,3,
2861812,2861808,,,271740766,260634038,3,
2861812,2861808,,,271740766,260634039,3,
2861812,2861808,,,260634006,260634029,3,
2861812,2861808,,,260633975,281481210,3,
2861812,2861808,,,260633988,260634012,3,
2861812,2861808,,,260633993,260634016,3,
2861812,2861808,,,260634019,260634042,3,
2861812,2861808,,,260634040,260634061,3,
2861812,2861808,,,260634072,260634089,3,
2861812,2861808,,,260634048,260634069,3,
2861812,2861808,,,260634015,260634039,3,
2861812,2861808,,,285267050,285270593,3,
2861812,2861808,,,260633984,260634007,3,
2861812,2861808,,,260633964,260633976,3,
2861812,2861808,,,260633975,277465041,3,
2861812,2861808,,,260634005,260634029,3,
2861812,2861808,,,280074447,260634094,3,
2861812,2861808,,,260633997,260634020,3,
2861812,2861808,,,277465098,277465129,3,
2861812,2861808,,,271740778,260634047,3,
2861812,2861808,,,271740718,260634003,3,
2861812,2861808,,,260634049,260634070,3,
2861812,2861808,,,260634001,260634024,3,
2861812,2861808,,,260634086,260634101,3,
2861812,2861808,,,260634032,260634054,3,
2861812,2861808,,,277465003,260633979,3,
2861812,2861808,,,260634011,260634033,3,
2861812,2861808,,,260634068,260634087,3,
2861812,2861808,,,271740875,273469252,3,
2861812,2861808,,,271740875,260634104,3,
2861812,2861808,,,260634078,260634094,3,
2861812,2861808,,,285267652,285271088,3,
2861812,2861808,,,260634015,260634037,3,
2861812,2861808,,,260634095,260634108,3,
2861812,2861808,,,271740741,260634021,3,
2861812,2861808,,,277465075,277465108,3,
2861812,2861808,,,271740790,260634053,3,
2861812,2861808,,,260633978,260633998,3,
2861812,2861808,,,260633981,260634002,3,
2861812,2861808,,,260634027,260634050,3,
2861812,2861808,,,260634063,260634083,3,
2861812,2861808,,,260633972,260633989,3,
2861812,2861808,,,285270883,285266669,3,
2861812,2861808,,,260634052,260634073,3,
2861812,2861808,,,260634059,260634080,3,
2861812,2861808,,,273469238,260634109,3,
2861812,2861808,,,273469238,260634108,3,
2861812,2861808,,,271740728,260634013,3,
2861812,2861808,,,260634031,260634053,3,
2861812,2861808,,,260633969,260633985,3,
2861812,2861808,,,260634085,260634100,3,
2861812,2861808,,,260634081,260634098,3,
2861812,2861808,,,260634095,260634109,3,
2861812,2861808,,,260634056,260634076,3,
2861812,2861808,,,277465010,260633989,3,
2861812,2861808,,,260634067,260634087,3,
2861812,2861808,,,271740875,260634105,3,
2861812,2861808,,,260634035,260634057,3,
2861812,2861808,,,260634044,260634065,3,
2861812,2861808,,,271740752,260634030,3,
2861812,2861808,,,260633966,277465024,3,
2861812,2861811,,,283883845,277458940,3,
2861893,2861893,,,278786889,277448311,0,
2861893,2861893,,,277442842,277448339,0,
2861893,2861894,,,278786083,260626534,0,
2861893,2861894,,,277427857,260626554,0,
2861893,2861894,,,277427857,268820159,0,
2861893,2861894,,,284597701,277450494,0,
2861893,2861894,,,277427857,260626553,0,
2861893,2861894,,,284598506,277450267,0,
2861893,2861894,,,283883464,281485342,0,
2861893,2861894,,,260623823,260626619,0,
2861893,2861894,,,283884932,260626534,0,
2861893,2861894,,,283882408,277450353,0,
2861893,2861894,,,260623823,260626624,0,
2861893,2861894,,,283883464,260626560,0,
2861893,2861894,,,285267340,271418010,0,
2861893,2861894,,,275164932,260626569,0,
2861893,2861894,,,262942591,275173195,0,
2861893,2861894,,,283882865,283881371,0,
2861893,2861894,,,281488573,260626417,0,
2861893,2861894,,,278787538,275172995,0,
2861893,2861894,,,283882783,283881246,0,
2861893,2861894,,,283882783,260626591,0,
2861893,2861894,,,281487364,260626522,0,
2861893,2861894,,,285270230,277450323,0,
2861893,2861894,,,285268213,285267649,0,
2861893,2861894,,,285240797,277450353,0,
2861893,2861894,,,275168534,260626467,0,
2861893,2861894,,,281489535,285266770,0,
2861893,2861894,,,278788555,277450129,0,
2861893,2861894,,,275164932,274448093,0,
2861893,2861894,,,275168545,260626473,0,
2861893,2861894,,,283884465,283884477,0,
2861893,2861894,,,275168545,260626474,0,
2861893,2861894,,,283883012,283884282,0,
2861893,2861894,,,275164519,260626408,0,
2861893,2861894,,,277442842,260626534,0,
2861893,2861894,,,268814617,277450529,0,
2861893,2861894,,,285267654,260626517,0,
2861893,2861894,,,283884914,260626517,0,
2861893,2861894,,,278788555,260626453,0,
2861893,2861894,,,284597139,280073413,0,
2861893,2861894,,,284596568,260626412,0,
2861893,2861894,,,283881639,260626624,0,
2861893,2861894,,,284592724,283884147,0,
2861893,2861894,,,285239921,260626494,0,
2861893,2861894,,,275154616,275172995,0,
2861893,2861894,,,279480401,268820159,0,
2861893,2861894,,,276317269,260626412,0,
2861893,2861894,,,284599849,260626542,0,
2861893,2861894,,,283881681,260626558,0,
2861893,2861894,,,279480401,260626551,0,
2861893,2861894,,,283881466,284594527,0,
2861893,2861894,,,279480401,260626553,0,
2861893,2861894,,,285239921,271418010,0,
2861893,2861894,,,281489730,260626399,0,
2861893,2861894,,,283883336,283884971,0,
2861893,2861894,,,281489730,283884378,0,
2861893,2861894,,,284598275,260626400,0,
2861893,2861894,,,283884273,260626431,0,
2861893,2861894,,,283849813,260626545,0,
2861893,2861894,,,278786497,260626453,0,
2861893,2861894,,,278786497,277450129,0,
2861893,2861894,,,260623839,260620526,0,
2861893,2861894,,,275164905,281485342,0,
2861893,2861894,,,275164905,260626560,0,
2861893,2861894,,,275164844,277450353,0,
2861893,2861894,,,283869715,260626488,0,
2861893,2861894,,,275168530,260626462,0,
2861893,2861894,,,283884153,275173195,0,
2861893,2861894,,,281488198,260626517,0,
2861893,2861894,,,275164805,260626522,0,
2861893,2861894,,,284597461,277450353,0,
2861893,2861894,,,260625527,260626522,0,
2861893,2861894,,,277442654,260626467,0,
2861893,2861894,,,284598800,277450494,0,
2861893,2861894,,,283881615,283882109,0,
2861893,2861894,,,281489844,260626406,0,
2861893,2861894,,,275168474,260626411,0,
2861893,2861894,,,284596480,277428379,0,
2861893,2861894,,,283883601,271418051,0,
2861893,2861894,,,275164963,277450441,0,
2861893,2861894,,,281487740,275173044,0,
2861893,2861894,,,284596842,260626480,0,
2861893,2861894,,,284599641,277450323,0,
2861893,2861894,,,284596842,260626482,0,
2861893,2861894,,,285267747,260626534,0,
2861893,2861894,,,284596347,260626474,0,
2861893,2861894,,,273435331,260626480,0,
2861893,2861894,,,284598283,260626467,0,
2861893,2861894,,,273435331,260626482,0,
2861893,2861894,,,283883598,283881233,0,
2861893,2861894,,,284598587,260626482,0,
2861893,2861894,,,284598587,260626480,0,
2861893,2861894,,,285270705,260626467,0,
2861893,2861894,,,283882730,260626473,0,
2861893,2861894,,,283882730,283882038,0,
2861893,2861894,,,277427831,268819846,0,
2861893,2861894,,,277427831,260626403,0,
2861893,2861894,,,284598898,271418010,0,
2861893,2861894,,,284598898,260626494,0,
2861893,2861894,,,285267529,260626441,0,
2861893,2861894,,,283882903,260626500,0,
2861893,2861894,,,275168564,260626488,0,
2861893,2861894,,,285268532,285268328,0,
2861893,2861894,,,275168599,260626517,0,
2861893,2861894,,,275154463,260626480,0,
2861893,2861894,,,283884874,260626487,0,
2861893,2861894,,,283884874,283884329,0,
2861893,2861894,,,283882782,283882155,0,
2861893,2861894,,,283882782,260626467,0,
2861893,2861894,,,275164591,260626431,0,
2861893,2861894,,,284599578,285263629,0,
2861893,2861894,,,276317623,260626542,0,
2861893,2861894,,,284598492,260626488,0,
2861893,2861894,,,276317623,277450367,0,
2861893,2861894,,,275164602,260626441,0,
2861893,2861894,,,284598492,260626487,0,
2861893,2861894,,,275168545,285269942,0,
2861893,2861894,,,285271356,260626534,0,
2861893,2861894,,,275164539,260626411,0,
2861893,2861894,,,275164560,260626419,0,
2861893,2861894,,,275164560,280073413,0,
2861893,2861894,,,275164988,283884046,0,
2861893,2861894,,,281489844,285270762,0,
2861893,2861894,,,275165012,285271374,0,
2861893,2861894,,,284596633,260626522,0,
2861893,2861894,,,276317557,260626522,0,
2861893,2861894,,,284595878,260626574,0,
2861893,2861894,,,283884738,260626566,0,
2861893,2861894,,,281487710,260626545,0,
2861893,2861894,,,276317592,260626534,0,
2861893,2861894,,,275168473,260626411,0,
2861893,2861894,,,277448311,277450323,0,
2861893,2861894,,,284599490,260620526,0,
2861893,2861894,,,276317428,260626474,0,
2861893,2861894,,,283884644,283881799,0,
2861893,2861894,,,285268632,260626517,0,
2861893,2861894,,,283884349,277428379,0,
2861893,2861894,,,275164964,260626574,0,
2861893,2861894,,,275154464,260626480,0,
2861893,2861894,,,275164964,260626577,0,
