route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17562,2389,284596941,IFF:IC:2868,Rotterdam Centraal,2868,Intercity,1,,1359603,0,1
17562,2425,284596946,IFF:IC:2824,Rotterdam Centraal,2824,Intercity,1,,1359603,0,1
17562,2448,284596958,IFF:IC:2834,Rotterdam Centraal,2834,Intercity,1,,1359603,0,1
17562,2448,284596962,IFF:IC:2875,Alkmaar,2875,Intercity,0,,1359602,0,1
17562,2389,284596997,IFF:IC:2821,Amsterdam Centraal,2821,Intercity,0,,1359602,0,1
17562,2389,284597000,IFF:IC:2870,Rotterdam Centraal,2870,Intercity,1,,1359603,0,1
17562,2448,284597013,IFF:IC:2828,Rotterdam Centraal,2828,Intercity,1,,1359603,0,1
17562,2425,284597042,IFF:IC:2825,Amsterdam Centraal,2825,Intercity,0,,1359602,0,1
17562,2448,284597050,IFF:IC:2867,Alkmaar,2867,Intercity,0,,1359602,0,1
17562,2389,284597060,IFF:IC:2867,Alkmaar,2867,Intercity,0,,1359602,0,1
17562,2448,284597084,IFF:IC:2840,Rotterdam Centraal,2840,Intercity,1,,1359603,0,1
17562,2389,284597111,IFF:IC:2869,Amsterdam Centraal,2869,Intercity,0,,1359602,0,1
17562,2389,284597176,IFF:IC:2864,Rotterdam Centraal,2864,Intercity,1,,1359603,0,1
17562,2425,284597182,IFF:IC:2837,Alkmaar,2837,Intercity,0,,1359602,0,1
17562,2425,284597183,IFF:IC:2863,Alkmaar,2863,Intercity,0,,1359602,0,1
17562,2389,284597187,IFF:IC:2828,Rotterdam Centraal,2828,Intercity,1,,1359603,0,1
17562,2425,284597242,IFF:IC:2862,Rotterdam Centraal,2862,Intercity,1,,1359603,0,1
17562,2425,284597253,IFF:IC:2836,Rotterdam Centraal,2836,Intercity,1,,1359603,0,1
17562,2425,284597353,IFF:IC:2850,Rotterdam Centraal,2850,Intercity,1,,1359603,0,1
17562,2389,284597364,IFF:IC:2823,Amsterdam Centraal,2823,Intercity,0,,1359602,0,1
17562,2425,284597552,IFF:IC:2860,Rotterdam Centraal,2860,Intercity,1,,1359603,0,1
17562,2448,284597566,IFF:IC:2889,Amsterdam Centraal,2889,Intercity,0,,1359602,0,1
17562,2448,284597585,IFF:IC:2871,Alkmaar,2871,Intercity,0,,1359602,0,1
17562,2425,284597698,IFF:IC:2844,Rotterdam Centraal,2844,Intercity,1,,1359603,0,1
17562,2425,284597719,IFF:IC:2857,Alkmaar,2857,Intercity,0,,1359602,0,1
17562,2389,284597781,IFF:IC:2835,Alkmaar,2835,Intercity,0,,1359602,0,1
17562,2425,284597796,IFF:IC:2838,Rotterdam Centraal,2838,Intercity,1,,1359603,0,1
