route_ID;name;bus_stop;traveltime to next stop
6;3 - Broekweg;Nieuwe Beestenmarkt, Leiden;3
6;3 - Broekweg;Station Leiden Centraal, Leiden (Aankomst);4
6;3 - Broekweg;Station Leiden Centraal, Leiden (Vertrek);1
6;3 - Broekweg;Leiden CS Westzijde, Leiden;3
6;3 - Broekweg;Schipholweg, Leiden;2
6;3 - Broekweg;Groenoord, Leiden;3
6;3 - Broekweg;De Rode's, Leiden;1
6;3 - Broekweg;Arendshorst, Leiden;1
6;3 - Broekweg;Valkenhorst, Leiden;1
6;3 - Broekweg;Zwartemeerlaan, Leiden;1
6;3 - Broekweg;Vossemeerlaan, Leiden;1
6;3 - Broekweg;Broekweg, Leiden;0
;;;
5;3 - Leyhof;Broekweg, Leiden;1
5;3 - Leyhof;Vossemeerlaan, Leiden;2
5;3 - Leyhof;Zwartemeerlaan, Leiden;1
5;3 - Leyhof;Valkenhorst, Leiden;1
5;3 - Leyhof;Arendshorst, Leiden;2
5;3 - Leyhof;De Rode's, Leiden;2
5;3 - Leyhof;Groenoord, Leiden;1
5;3 - Leyhof;Schipholweg, Leiden;3
5;3 - Leyhof;Leiden CS Westzijde, Leiden;2
5;3 - Leyhof;Station Leiden Centraal, Leiden (Aankomst);3
5;3 - Leyhof;Station Leiden Centraal, Leiden (Vertrek);2
5;3 - Leyhof;Steenstraat, Leiden;3
5;3 - Leyhof;Breestraat, Leiden;1
5;3 - Leyhof;Korevaarstraat, Leiden;1
5;3 - Leyhof;Hogewoerd, Leiden;1
5;3 - Leyhof;Hooigracht, Leiden;1
5;3 - Leyhof;Oosterkerkstraat, Leiden;1
5;3 - Leyhof;Zijlsingel, Leiden;3
5;3 - Leyhof;Kooipark, Leiden;1
5;3 - Leyhof;Surinamestraat, Leiden;2
5;3 - Leyhof;Sumatrastraat, Leiden;1
5;3 - Leyhof;Zwembad de Zijl, Leiden;1
5;3 - Leyhof;Sumatrabrug, Leiden;2
;;;
7;4 - De Vink;Broekweg, Leiden;1
7;4 - De Vink;Fakkelgras, Leiden;2
7;4 - De Vink;Vossebes, Leiden;2
7;4 - De Vink;De Rode's, Leiden;2
7;4 - De Vink;Groenoord, Leiden;1
7;4 - De Vink;Schipholweg, Leiden;2
7;4 - De Vink;Leiden CS Westzijde, Leiden;2
7;4 - De Vink;Station Leiden Centraal, Leiden (Aankomst);3
7;4 - De Vink;Station Leiden Centraal, Leiden (Vertrek);2
7;4 - De Vink;Steenstraat, Leiden;3
7;4 - De Vink;Breestraat, Leiden;1
7;4 - De Vink;Korevaarstraat, Leiden;2
7;4 - De Vink;Leliestraat, Leiden;2
7;4 - De Vink;Station Lammenschans, Leiden;1
7;4 - De Vink;Meloenstraat, Leiden;2
7;4 - De Vink;Rosenburch, Leiden;1
7;4 - De Vink;Vijf Meiplein, Leiden;3
7;4 - De Vink;De Bazelstraat, Leiden;1
7;4 - De Vink;Kennedylaan, Leiden;2
7;4 - De Vink;Brahmslaan, Leiden;1
7;4 - De Vink;Debussystraat, Leiden;1
7;4 - De Vink;Bizetpad, Leiden;3
7;4 - De Vink;Trompweg, Voorschoten;2
7;4 - De Vink;Station De Vink, Leiden;
;;;
8;4 - Broekweg;Station De Vink, Leiden;1
8;4 - Broekweg;Trompweg, Voorschoten;1
8;4 - Broekweg;Bizetpad, Leiden;2
8;4 - Broekweg;Verdistraat, Leiden;1
8;4 - Broekweg;Brahmslaan, Leiden;1
8;4 - Broekweg;Kennedylaan, Leiden;2
8;4 - Broekweg;van der Helmlaan, Leiden;3
8;4 - Broekweg;Vijf Meiplein, Leiden;1
8;4 - Broekweg;Rosenburch, Leiden;2
8;4 - Broekweg;Meloenstraat, Leiden;1
8;4 - Broekweg;Station Lammenschans, Leiden;2
8;4 - Broekweg;Leliestraat, Leiden;2
8;4 - Broekweg;Korevaarstraat, Leiden;1
8;4 - Broekweg;Breestraat, Leiden;2
8;4 - Broekweg;Prinsessekade, Leiden;1
8;4 - Broekweg;Nieuwe Beestenmarkt, Leiden;3
8;4 - Broekweg;Station Leiden Centraal, Leiden (Aankomst);3
8;4 - Broekweg;Station Leiden Centraal, Leiden (Vertrek);1
8;4 - Broekweg;Leiden CS Westzijde, Leiden;3
8;4 - Broekweg;Schipholweg, Leiden;2
8;4 - Broekweg;Groenoord, Leiden;3
8;4 - Broekweg;De Rode's, Leiden;1
8;4 - Broekweg;Vossebes, Leiden;1
8;4 - Broekweg;Fakkelgras, Leiden;1
8;4 - Broekweg;Broekweg, Leiden;
;;;
9;14 - Leiden Centraal;Station De Vink, Leiden;2
9;14 - Leiden Centraal;Trompweg, Voorschoten;1
9;14 - Leiden Centraal;Bizetpad, Leiden;3
9;14 - Leiden Centraal;Vijf Meiplein, Leiden;1
9;14 - Leiden Centraal;Rosenburch, Leiden;1
9;14 - Leiden Centraal;Fruitweg, Leiden;1
9;14 - Leiden Centraal;Herenstraat, Leiden;2
