ID	Flow
0	0.000000000000000
1	225.855513307984779
2	225.855513307984779
3	234.460694698354644
4	0.000000000000000
5	234.460694698354644
6	234.460694698354644
7	0.000000000000000
8	225.855513307984779
9	234.460694698354644
10	0.000000000000000
11	400.315824307848004
12	409.204784291059354
13	409.204784291059354
14	1049.575806707026914
15	826.625717956724543
16	534.587851917330227
17	534.587851917330227
18	534.587851917330227
19	579.892502851428617
20	579.892502851428617
21	0.000000000000000
22	225.855513307984779
23	225.855513307984779
24	225.855513307984779
25	463.039628831450500
26	225.855513307984779
27	451.711026615969558
28	451.711026615969558
29	635.530348658521234
30	467.236468122354097
31	467.236468122354097
32	0.000000000000000
33	447.411803638183130
34	428.161267301890121
35	533.604571243165992
36	533.604571243165992
37	225.855513307984779
38	1279.847908745247196
39	1279.847908745247196
40	1279.847908745247196
41	1279.847908745247196
42	1279.847908745247196
43	1279.847908745247196
44	1254.752851711026779
45	1254.752851711026779
46	225.855513307984779
47	533.604571243165992
48	533.604571243165992
49	428.161267301890007
50	0.000000000000000
51	225.855513307984779
52	194.805194805194844
53	194.805194805194844
54	194.805194805194844
55	194.805194805194844
56	194.805194805194844
57	194.805194805194844
58	269.991562763663637
59	194.805194805194844
60	0.000000000000000
61	194.805194805194844
62	225.855513307984779
63	0.000000000000000
64	0.000000000000000
65	0.000000000000000
66	234.460694698354644
67	225.855513307984779
68	0.000000000000000
69	234.460694698354644
70	234.460694698354644
71	0.000000000000000
72	234.460694698354644
73	234.460694698354644
74	0.000000000000000
75	234.460694698354644
76	225.855513307984779
77	0.000000000000000
78	234.460694698354644
79	225.855513307984779
80	0.000000000000000
81	1110.033765638427667
82	828.477091609737954
83	0.000000000000000
84	409.204784291059354
85	400.315824307848004
86	821.927219900268256
87	821.927219900268256
88	881.281926170859606
89	409.204784291059354
90	116.823725387212676
91	339.773814137514876
92	234.460694698354644
93	526.498560737749131
94	234.460694698354644
95	234.460694698354644
96	234.460694698354644
97	234.460694698354644
98	354.036989543443724
99	308.732338609345391
100	354.036989543443724
101	354.036989543443724
102	0.000000000000000
103	579.892502851428617
104	225.855513307984779
105	0.000000000000000
106	0.000000000000000
107	0.000000000000000
108	0.000000000000000
109	0.000000000000000
110	237.184115523465664
111	0.000000000000000
112	0.000000000000000
113	237.184115523465664
114	225.855513307984779
115	0.000000000000000
116	0.000000000000000
117	0.000000000000000
118	409.674835350536341
119	225.855513307984779
120	0.000000000000000
121	467.236468122354097
122	447.411803638183130
123	0.000000000000000
124	961.765838545055885
125	961.765838545056113
126	451.711026615969558
127	451.711026615969558
128	759.460084551150771
129	759.460084551150771
130	426.615969581749027
131	401.520912547528553
132	175.665399239543746
133	175.665399239543746
134	175.665399239543746
135	175.665399239543746
136	175.665399239543746
137	175.665399239543746
138	175.665399239543746
139	175.665399239543746
140	175.665399239543746
141	175.665399239543746
142	175.665399239543746
143	200.760456273764277
144	200.760456273764277
145	200.760456273764277
146	225.855513307984779
147	0.000000000000000
148	194.805194805194844
149	225.855513307984779
150	194.805194805194844
151	194.805194805194844
152	0.000000000000000
153	0.000000000000000
154	0.000000000000000
155	0.000000000000000
156	0.000000000000000
157	0.000000000000000
158	0.000000000000000
159	0.000000000000000
160	269.991562763663637
161	194.805194805194844
162	194.805194805194844
163	269.991562763663637
164	387.931034482758605
165	402.834763148078991
166	643.965517241379303
167	643.965517241379303
168	643.965517241379303
169	643.965517241379303
170	643.965517241379303
171	387.931034482758605
172	547.351514356889993
173	321.496001048905157
174	918.532224243656174
175	990.513625647681124
176	537.405777851273911
177	537.405777851273911
178	0.000000000000000
179	444.022320277287804
180	0.000000000000000
181	424.917621337481819
182	529.562112370111663
183	529.562112370111663
184	224.144486692015164
185	249.239543726235695
186	249.239543726235695
187	274.334600760456283
188	274.334600760456283
189	274.334600760456283
190	274.334600760456283
191	274.334600760456283
192	274.334600760456283
193	224.144486692015164
194	529.562112370111663
195	529.562112370111663
196	424.917621337481819
197	397.283128669152234
198	406.104748046430132
199	406.104748046430132
200	436.038917476474808
201	600.668730138734304
202	568.614765981891310
203	568.614765981891310
204	342.759252673906531
205	472.661870503597129
206	0.000000000000000
207	450.000000000000000
208	450.000000000000000
209	224.144486692015164
210	452.512595469781900
211	452.512595469781900
212	461.331888200715127
213	467.213114754098342
214	467.213114754098342
215	467.213114754098342
216	467.213114754098342
217	567.247397618899186
218	341.391884310914406
219	467.213114754098342
220	467.213114754098342
221	0.000000000000000
222	467.213114754098342
223	567.247397618899186
224	567.247397618899186
225	341.391884310914406
226	387.931034482758605
227	341.391884310914406
228	402.834763148078991
229	387.931034482758605
230	643.965517241379303
231	402.834763148078991
232	450.000000000000000
233	450.000000000000000
234	450.000000000000000
235	450.000000000000000
236	450.000000000000000
237	450.000000000000000
238	450.000000000000000
239	450.000000000000000
240	387.931034482758605
241	643.965517241379303
242	547.351514356889993
243	387.931034482758605
244	224.144486692015164
245	450.000000000000000
246	918.532224243656174
247	788.709115803003669
248	670.413405335788411
249	598.432003931763575
250	537.405777851273911
251	960.579456217636334
252	815.700498537387375
253	815.700498537387375
254	0.000000000000000
255	537.405777851273911
256	444.022320277287804
257	0.000000000000000
258	0.000000000000000
259	868.939941614769623
260	1289.413864760732395
261	0.000000000000000
262	954.479733707593368
263	954.479733707593368
264	448.288973384030328
265	448.288973384030328
266	753.706599062126770
267	753.706599062126770
268	473.384030418250859
269	498.479087452471390
270	249.239543726235695
271	249.239543726235695
272	274.334600760456283
273	249.239543726235695
274	274.334600760456283
275	274.334600760456283
276	274.334600760456283
277	274.334600760456283
278	274.334600760456283
279	274.334600760456283
280	274.334600760456283
281	274.334600760456283
282	274.334600760456283
283	274.334600760456283
284	406.104748046430132
285	397.283128669152234
286	600.668730138734304
287	436.038917476474808
288	450.000000000000000
289	482.053964156842994
290	450.000000000000000
291	450.000000000000000
292	224.144486692015164
293	450.000000000000000
294	472.661870503597129
295	342.759252673906531
296	0.000000000000000
297	472.661870503597129
298	450.000000000000000
299	0.000000000000000
300	450.000000000000000
301	450.000000000000000
302	224.144486692015164
303	450.000000000000000
304	452.512595469781900
305	224.144486692015164
306	452.512595469781900
307	452.512595469781900
308	461.331888200715127
309	452.512595469781900
310	467.213114754098342
311	461.331888200715127
312	467.213114754098342
313	467.213114754098342
314	467.213114754098342
315	467.213114754098342
316	567.247397618899186
317	467.213114754098342
318	224.144486692015164
319	450.000000000000000
320	467.213114754098342
321	341.391884310914406
322	467.213114754098342
323	467.213114754098342
324	0.000000000000000
325	467.213114754098342
326	467.213114754098342
327	0.000000000000000
328	567.247397618899186
329	467.213114754098342
330	450.000000000000000
331	450.000000000000000
332	224.144486692015164
333	450.000000000000000
334	450.000000000000000
335	450.000000000000000
336	450.000000000000000
337	450.000000000000000
338	450.000000000000000
339	450.000000000000000
340	215.539305301645300
341	0.000000000000000
342	215.539305301645300
343	215.539305301645300
344	450.000000000000000
345	450.000000000000000
346	450.000000000000000
347	450.000000000000000
348	450.000000000000000
349	215.539305301645300
350	0.000000000000000
351	368.009634977740973
352	376.181240295640464
353	376.181240295640464
354	398.017518832917233
355	193.059893385271096
356	301.203352892355952
357	301.203352892355952
358	301.203352892355952
359	325.465583369762385
