route_ID,name,bus_stop,StopID,traveltime to next stop
3,2 - De Vink,"Station De Vink, Leiden",71,0
6,3 - Broekweg,"Sumatrabrug, Leiden",77,2
6,3 - Broekweg,"Zwembad de Zijl, Leiden",101,1
6,3 - Broekweg,"Sumatrastraat, Leiden",78,1
6,3 - Broekweg,"Surinamestraat, Leiden",79,1
6,3 - Broekweg,"Kooipark, Leiden",43,3
6,3 - Broekweg,"Zijlsingel, Leiden",97,1
6,3 - Broekweg,"Oosterkerkstraat, Leiden",60,2
6,3 - Broekweg,"Hogewoerd, Leiden",36,2
6,3 - Broekweg,"Korevaarstraat, Leiden",45,1
6,3 - Broekweg,"Breestraat, Leiden",11,2
6,3 - Broekweg,"Prinsessekade, Leiden",66,1
6,3 - Broekweg,"Nieuwe Beestenmarkt, Leiden",57,3
6,3 - Broekweg,"Station Leiden Centraal, Leiden (Aankomst)",73,4
6,3 - Broekweg,"Station Leiden Centraal, Leiden (Vertrek)",74,1
6,3 - Broekweg,"Leiden CS Westzijde, Leiden",47,3
6,3 - Broekweg,"Schipholweg, Leiden",70,2
6,3 - Broekweg,"Groenoord, Leiden",31,3
6,3 - Broekweg,"De Rode's, Leiden",22,1
6,3 - Broekweg,"Arendshorst, Leiden",4,1
6,3 - Broekweg,"Valkenhorst, Leiden",84,1
6,3 - Broekweg,"Zwartemeerlaan, Leiden",99,1
6,3 - Broekweg,"Vossemeerlaan, Leiden",91,1
6,3 - Broekweg,"Broekweg, Leiden",12,0
5,3 - Leyhof,"Broekweg, Leiden",12,1
5,3 - Leyhof,"Vossemeerlaan, Leiden",91,2
5,3 - Leyhof,"Zwartemeerlaan, Leiden",99,1
5,3 - Leyhof,"Valkenhorst, Leiden",84,1
5,3 - Leyhof,"Arendshorst, Leiden",4,2
5,3 - Leyhof,"De Rode's, Leiden",22,2
5,3 - Leyhof,"Groenoord, Leiden",31,1
5,3 - Leyhof,"Schipholweg, Leiden",70,3
5,3 - Leyhof,"Leiden CS Westzijde, Leiden",47,2
5,3 - Leyhof,"Station Leiden Centraal, Leiden (Aankomst)",73,3
5,3 - Leyhof,"Station Leiden Centraal, Leiden (Vertrek)",74,2
5,3 - Leyhof,"Steenstraat, Leiden",75,3
5,3 - Leyhof,"Breestraat, Leiden",11,1
5,3 - Leyhof,"Korevaarstraat, Leiden",45,1
5,3 - Leyhof,"Hogewoerd, Leiden",36,1
5,3 - Leyhof,"Hooigracht, Leiden",37,1
5,3 - Leyhof,"Oosterkerkstraat, Leiden",60,1
5,3 - Leyhof,"Zijlsingel, Leiden",97,3
5,3 - Leyhof,"Kooipark, Leiden",43,1
5,3 - Leyhof,"Surinamestraat, Leiden",79,2
5,3 - Leyhof,"Sumatrastraat, Leiden",78,1
5,3 - Leyhof,"Zwembad de Zijl, Leiden",101,1
5,3 - Leyhof,"Sumatrabrug, Leiden",77,2
7,4 - De Vink,"Broekweg, Leiden",12,1
7,4 - De Vink,"Fakkelgras, Leiden",26,2
7,4 - De Vink,"Vossebes, Leiden",90,2
7,4 - De Vink,"De Rode's, Leiden",22,2
7,4 - De Vink,"Groenoord, Leiden",31,1
7,4 - De Vink,"Schipholweg, Leiden",70,2
7,4 - De Vink,"Leiden CS Westzijde, Leiden",47,2
7,4 - De Vink,"Station Leiden Centraal, Leiden (Aankomst)",73,3
7,4 - De Vink,"Station Leiden Centraal, Leiden (Vertrek)",74,2
7,4 - De Vink,"Steenstraat, Leiden",75,3
7,4 - De Vink,"Breestraat, Leiden",11,1
7,4 - De Vink,"Korevaarstraat, Leiden",45,2
7,4 - De Vink,"Leliestraat, Leiden",49,2
7,4 - De Vink,"Station Lammenschans, Leiden",72,1
7,4 - De Vink,"Meloenstraat, Leiden",53,2
7,4 - De Vink,"Rosenburch, Leiden",69,1
7,4 - De Vink,"Vijf Meiplein, Leiden",89,3
7,4 - De Vink,"De Bazelstraat, Leiden",19,1
7,4 - De Vink,"Kennedylaan, Leiden",41,2
7,4 - De Vink,"Brahmslaan, Leiden",9,1
7,4 - De Vink,"Debussystraat, Leiden",23,1
7,4 - De Vink,"Bizetpad, Leiden",7,3
7,4 - De Vink,"Trompweg, Voorschoten",81,2
7,4 - De Vink,"Station De Vink, Leiden",71,0
8,4 - Broekweg,"Station De Vink, Leiden",71,1
8,4 - Broekweg,"Trompweg, Voorschoten",81,1
8,4 - Broekweg,"Bizetpad, Leiden",7,2
8,4 - Broekweg,"Verdistraat, Leiden",88,1
8,4 - Broekweg,"Brahmslaan, Leiden",9,1
8,4 - Broekweg,"Kennedylaan, Leiden",41,2
8,4 - Broekweg,"van der Helmlaan, Leiden",85,3
8,4 - Broekweg,"Vijf Meiplein, Leiden",89,1
8,4 - Broekweg,"Rosenburch, Leiden",69,2
8,4 - Broekweg,"Meloenstraat, Leiden",53,1
8,4 - Broekweg,"Station Lammenschans, Leiden",72,2
8,4 - Broekweg,"Leliestraat, Leiden",49,2
8,4 - Broekweg,"Korevaarstraat, Leiden",45,1
8,4 - Broekweg,"Breestraat, Leiden",11,2
8,4 - Broekweg,"Prinsessekade, Leiden",66,1
8,4 - Broekweg,"Nieuwe Beestenmarkt, Leiden",57,3
8,4 - Broekweg,"Station Leiden Centraal, Leiden (Aankomst)",73,3
8,4 - Broekweg,"Station Leiden Centraal, Leiden (Vertrek)",74,1
8,4 - Broekweg,"Leiden CS Westzijde, Leiden",47,3
8,4 - Broekweg,"Schipholweg, Leiden",70,2
8,4 - Broekweg,"Groenoord, Leiden",31,3
8,4 - Broekweg,"De Rode's, Leiden",22,1
8,4 - Broekweg,"Vossebes, Leiden",90,1
8,4 - Broekweg,"Fakkelgras, Leiden",26,1
8,4 - Broekweg,"Broekweg, Leiden",12,0
9,14 - Leiden Centraal,"Station De Vink, Leiden",71,2
9,14 - Leiden Centraal,"Trompweg, Voorschoten",81,1
9,14 - Leiden Centraal,"Bizetpad, Leiden",7,3
9,14 - Leiden Centraal,"Vijf Meiplein, Leiden",89,1
9,14 - Leiden Centraal,"Rosenburch, Leiden",69,1
9,14 - Leiden Centraal,"Fruitweg, Leiden",27,1
9,14 - Leiden Centraal,"Herenstraat, Leiden",35,2
9,14 - Leiden Centraal,"Koninginnelaan, Leiden",42,1
9,14 - Leiden Centraal,"Leliestraat, Leiden",49,2
9,14 - Leiden Centraal,"Korevaarstraat, Leiden",45,1
9,14 - Leiden Centraal,"Breestraat, Leiden",11,3
9,14 - Leiden Centraal,"Prinsessekade, Leiden",66,1
9,14 - Leiden Centraal,"Nieuwe Beestenmarkt, Leiden",57,2
9,14 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
10,14 - De Vink,"Station Leiden Centraal, Leiden (Vertrek)",74,2
10,14 - De Vink,"Steenstraat, Leiden",75,3
10,14 - De Vink,"Breestraat, Leiden",11,1
10,14 - De Vink,"Korevaarstraat, Leiden",45,2
10,14 - De Vink,"Leliestraat, Leiden",49,1
10,14 - De Vink,"Herenstraat, Leiden",35,1
10,14 - De Vink,"Fruitweg, Leiden",27,1
10,14 - De Vink,"Rosenburch, Leiden",69,1
10,14 - De Vink,"Vijf Meiplein, Leiden",89,2
10,14 - De Vink,"Bizetpad, Leiden",7,3
10,14 - De Vink,"Trompweg, Voorschoten",81,2
