ID, lat, lng
0,4.532661437,52.17006459
1,4.511269254,52.17748099
2,4.514540757,52.17341595
3,4.404721703,52.48495982
4,4.463026204,52.27004106
5,4.5064643,52.17931126
6,4.477471874,52.2096623
7,4.493394226,52.10922888
8,4.493474296,52.08461389
9,4.493508305,52.10759367
10,4.273859267,52.31647878
11,4.49935483,52.16824909
12,4.476944325,52.13972493
13,4.478079711,52.14530222
14,4.479720751,52.1456602
15,4.479270071,52.1518366
16,4.483669966,52.15082482
17,4.48389375,52.14636643
18,4.482680207,52.14405932
19,4.509845942,52.1515063
20,4.487662299,52.16636132
21,4.490425834,52.16721057
22,4.448005318,52.15348214
23,4.443963572,52.14665054
24,4.446164503,52.15241478
25,4.488296693,52.1615658
26,4.488935806,52.16027915
27,4.483696756,52.15980383
28,4.486650552,52.15701483
29,4.485893584,52.15729214
30,4.485557824,52.16243703
31,4.483609572,52.1600667
32,4.477828943,52.17392383
33,4.500702292,52.17788164
34,4.500337751,52.17707597
35,4.506229806,52.17909754
36,4.478374306,52.17303657
37,4.478240773,52.16803569
38,4.486154696,52.18535167
39,4.491946057,52.17312989
40,4.483938929,52.17000532
41,4.484045634,52.16971428
42,4.492689978,52.17462936
43,4.492715314,52.17439306
44,4.509262495,52.16504241
45,4.509489184,52.16468656
46,4.51513407,52.15906406
47,4.529262842,52.16790825
48,4.525962151,52.16525423
49,4.509994029,52.14641254
50,4.49332409,52.16116675
51,4.49634679,52.16524573
52,4.494274746,52.16414762
53,4.491240306,52.15524905
54,4.486906093,52.1563594
55,4.495523785,52.1480705
56,4.494377169,52.1316975
57,4.496198237,52.13862818
58,4.495770376,52.14875192
59,4.492901189,52.15329934
60,4.491935941,52.15154883
61,4.504252678,52.15363901
62,4.508679342,52.15036477
63,4.50170476,52.14777472
64,4.500077835,52.15113962
65,4.507021217,52.1471414
66,4.508200476,52.14782658
67,4.504274796,52.15565457
68,4.509084109,52.16028989
69,4.503187675,52.16178292
70,4.509605921,52.1585779
71,4.509857848,52.15908346
72,4.449950496,52.1530061
73,4.451906304,52.15475917
74,4.455179181,52.15316945
75,4.451336503,52.15004972
76,4.452894095,52.14919477
77,4.45310036,52.14929161
78,4.478160983,52.15273474
79,4.46296101,52.18837542
80,4.48243193,52.16842683
81,4.484038143,52.1693202
82,4.485934146,52.16687912
83,4.484319082,52.16438191
84,4.480269027,52.16316644
85,4.481879134,52.16277702
86,4.50267186,52.17126115
87,4.500003781,52.16829332
88,4.505279271,52.17187099
89,4.502696679,52.16499224
90,4.503299426,52.16511371
91,4.50900765,52.17081959
92,4.508824727,52.16898611
93,4.510936927,52.15165059
94,4.514719576,52.15440383
95,4.517820094,52.15125541
96,4.517998065,52.14881305
97,4.516838989,52.14895514
98,4.494130291,52.15933495
99,4.493847595,52.16029836
100,4.49124031,52.15097936
101,4.490936427,52.14866366
102,4.485759106,52.1519378
103,4.486398567,52.15283694
104,4.488740492,52.14720935
105,4.489663043,52.14676318
106,4.478415602,52.15506334
107,4.478010104,52.15446327
108,4.478852629,52.15830717
109,4.477885407,52.1628496
110,4.468390711,52.15261823
111,4.45699402,52.15390649
112,4.458884135,52.15351933
113,4.400892697,52.20699788
114,4.446729807,52.16603454
115,4.452416918,52.16263173
116,4.45250509,52.16261018
117,4.473775015,52.17039941
118,4.467769874,52.17466679
119,4.499410714,52.15143476
120,4.49794655,52.15131114
121,4.502711958,52.15726682
122,4.499469533,52.15663265
123,4.498764981,52.1571574
124,4.503101624,52.16166448
125,4.499407265,52.16062158
126,4.499209088,52.16036496
127,4.474238969,52.16699957
128,4.470369362,52.16636673
129,4.469850235,52.15519048
130,4.47664847,52.15515717
131,4.475927504,52.15099458
132,4.469347222,52.15210407
133,4.458476768,52.14832885
134,4.459506956,52.16137036
135,4.457573505,52.16173201
136,4.455348124,52.16264662
137,4.49448927,52.15889321
138,4.496867981,52.15715058
139,4.493904138,52.15348423
140,4.495507719,52.15328215
141,4.469894519,52.15630112
142,4.466943237,52.16033265
143,4.467544044,52.16114557
144,4.470881037,52.16180802
145,4.472426404,52.14737749
146,4.473869112,52.14425277
147,4.474639928,52.14612653
148,4.474411022,52.14676575
149,4.459106115,52.15341504
150,4.460840464,52.15058837
151,4.467095978,52.15208208
152,4.466785765,52.16030034
153,4.465702896,52.16071501
154,4.464296859,52.15680747
155,4.460999832,52.15981262
156,4.461855368,52.15740386
157,4.461183633,52.16939888
158,4.459474647,52.1681527
159,4.458885601,52.16660553
160,4.463969737,52.16286682
161,4.462554955,52.16372939
162,4.462943707,52.1651765
163,4.464107022,52.16679479
164,4.467228288,52.16471042
165,4.467410884,52.16738343
166,4.467526295,52.16725044
167,4.471356746,52.16157488
168,4.47781641,52.16288958
169,4.473372625,52.15963341
170,4.472833174,52.15966291
171,4.476065386,52.16583503
172,4.475622682,52.16601037
173,4.446420634,52.09672771
174,4.450274048,52.10770337
175,4.466636571,52.15157437
176,4.463780747,52.14992594
177,4.46481455,52.14134551
178,4.469685679,52.14641931
179,4.469568789,52.14640133
180,4.46794486,52.14325601
181,4.472892374,52.14366716
182,4.472315305,52.14319992
200,4.449606424,52.16133012
201,4.439670482,52.15315937
202,4.443103002,52.14686573
203,4.451232279,52.14145453
204,4.460264177,52.14951564
205,4.4642377,52.14907355
206,4.464418509,52.1510612
207,4.47110274,52.15470493
208,4.473631215,52.15801796
209,4.4788704,52.15956352
210,4.478689591,52.16199238
211,4.480134638,52.16342829
212,4.466767599,52.16331777
213,4.452315708,52.16552646
214,4.455386611,52.17060523
215,4.46857284,52.1696114
216,4.468393455,52.17137888
217,4.471283548,52.17380774
218,4.480315446,52.17060523
219,4.483386349,52.16685098
220,4.493682485,52.17424895
221,4.488444724,52.17745146
222,4.487721489,52.17601643
223,4.481218067,52.17943911
224,4.498921669,52.18308284
225,4.503799235,52.18385562
226,4.512650324,52.18275127
227,4.50650852,52.17921807
228,4.498379242,52.17634712
229,4.499824289,52.17557434
230,4.499102478,52.17248235
231,4.497115004,52.17237183
232,4.50741114,52.17104731
233,4.5151788,52.1704947
234,4.518972938,52.17380774
235,4.51861132,52.1816478
236,4.516985465,52.16552646
237,4.514997992,52.16011526
238,4.513914562,52.15525753
239,4.510120425,52.15591979
240,4.50397862,52.15580927
241,4.505785285,52.16276603
242,4.506146902,52.16718254
243,4.498921669,52.16398003
244,4.493140058,52.16409055
245,4.486998254,52.16486333
246,4.521139796,52.15636101
247,4.52402989,52.14708591
248,4.515902036,52.14542983
249,4.50994104,52.14134401
250,4.49964348,52.14465705
251,4.507230331,52.14752799
252,4.512469516,52.15084016
253,4.503437618,52.15338041
254,4.496572578,52.1528278
255,4.488804918,52.15360058
256,4.484831395,52.15095068
257,4.485373822,52.1492946
258,4.495127531,52.15625136
259,4.491515626,52.15923196
260,4.485734016,52.1603363
261,4.480134638,52.15492597
262,4.482122111,52.15139276
263,4.488263915,52.14057123
264,4.486457251,52.14001949
265,4.485914824,52.14189662
266,4.47977302,52.14013002
267,4.477785547,52.14200714
268,4.474173642,52.15393215
269,4.466405982,52.14918407
270,4.467851029,52.13681698
271,4.470560313,52.13372499
272,4.466044364,52.1276524
273,4.468934458,52.1285357
274,4.473812024,52.12400868
275,4.473450407,52.1195913
276,4.493682485,52.13118561
277,4.488444724,52.13758976
278,4.488985727,52.13957741
279,4.51174628,52.13968793
301,4.442696911,52.15581351
302,4.447391649,52.15948627
303,4.451013304,52.16372893
304,4.461274659,52.17018791
305,4.467511954,52.16968132
306,4.470194661,52.17291081
307,4.477773309,52.17772339
308,4.484949551,52.17747009
309,4.494204892,52.17519045
310,4.505069856,52.18361246
