Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
6_6_8_4_3_3_4_2_3_2_1_3_6_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-661667.957162704900838	0.058000000000000
8_5_6_2_3_3_4_2_2_2_3_3_5_7_4_5_4_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-656175.548697176156566	0.049000000000000
6_6_8_4_3_3_4_2_3_2_1_3_5_6_4_5_3_6_5_4_3_4_4_1	1	1092884.060347067890689	14352.512677840997640	2157705.910595808178186	0.919000000000000	-662359.092679081950337	0.053000000000000
7_6_8_4_3_3_4_2_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662117.415816319640726	0.051000000000000
6_6_8_4_3_3_4_3_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1092929.696609451901168	14376.804331111448846	2171087.722803322132677	0.822000000000000	-663199.295894281240180	0.045000000000000
8_5_6_2_3_3_4_2_2_2_3_3_6_8_4_5_3_4_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655985.011740574031137	0.063000000000000
7_5_7_3_3_3_4_2_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_1	1	1099002.748730733059347	14216.737546086777002	2225372.747129528317600	1.611000000000000	-652114.817302385810763	0.042000000000000
8_5_7_3_3_3_5_2_2_2_4_3_5_6_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655800.539658671943471	0.083000000000000
6_6_8_4_3_3_4_2_3_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-665389.051025305641815	0.045000000000000
8_5_7_3_3_3_4_2_2_2_4_3_5_6_4_5_3_4_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654665.564561287057586	0.073000000000000
7_5_7_2_3_3_4_2_2_2_3_3_6_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-648626.787403975147754	0.045000000000000
6_6_8_4_3_3_4_2_3_2_1_4_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657997.919232050655410	0.046000000000000
6_6_8_4_3_3_4_2_3_2_1_3_5_6_5_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657997.919232050655410	0.059000000000000
8_5_6_2_3_4_4_2_2_2_3_3_6_7_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-656902.357448389753699	0.040000000000000
6_5_8_4_3_3_4_2_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-652112.046889627468772	0.048000000000000
6_6_8_3_3_3_4_2_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1093378.440974590601400	14350.918107944773510	2208966.847451503854245	0.931000000000000	-649588.604350163834170	0.045000000000000
6_6_6_2_3_4_4_2_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-651604.966114936163649	0.046000000000000
7_5_7_4_3_3_4_2_2_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1	1	1099117.588378322310746	14516.597072475997265	2223975.347775384318084	1.522000000000000	-652193.436768835759722	0.041000000000000
7_5_7_3_3_3_4_3_2_2_3_3_5_7_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-663819.160126270027831	0.042000000000000
8_5_7_3_3_3_4_2_2_2_4_3_5_6_4_5_3_4_5_4_3_5_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654234.546065319329500	0.098000000000000
6_6_8_4_3_3_4_2_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1093472.300140603911132	14376.780762372731260	2197780.432401621248573	0.923000000000000	-649389.084389081224799	0.042000000000000
5_6_8_4_3_3_4_3_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653149.025627904571593	0.061000000000000
6_6_7_4_3_3_4_3_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-658811.965186497895047	0.060000000000000
7_5_6_4_3_3_4_2_2_2_3_3_6_6_4_5_3_5_5_4_3_4_4_1	1	1100124.856135046808049	15371.892285718116909	2224713.229546039830893	1.495000000000000	-657601.751240647397935	0.061000000000000
6_6_8_4_3_3_4_3_3_2_1_3_5_6_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653987.035543619305827	0.060000000000000
6_6_8_4_3_3_4_3_3_2_1_3_5_5_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654023.226762557867914	0.050000000000000
7_5_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1099130.293758493615314	14403.047321177829872	2204646.575439987704158	1.408000000000000	-654790.431081950780936	0.059000000000000
6_6_8_5_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-659511.629849006305449	0.093000000000000
8_5_7_3_3_3_4_2_2_2_3_3_5_6_4_5_4_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-659932.379850535071455	0.054000000000000
7_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1095540.270712677622214	14234.305483831329184	2168357.302595624700189	1.517000000000000	-660644.721538177225739	0.055000000000000
