Iteration	Obj_Current	Obj_Best	New_Best	Case	SA_Prob	Jump	Nonimp_In	Nonimp_Out	Tenure	Temperature	ADD	DROP	Obj_Lookups	Con_Lookups	Obj_Evals	Con_Evals	ADD_First	DROP_First	ADD_Second	DROP_Second	SWAPs	Total_Time	Solution
0	-566316.631614397861995	-566316.631614397861995	1	-1	-1	0	0	0	6.000000000000000	10000000000000000.000000000000000	-1	-1	0	0	0	0	0	0	0	0	0	0.000000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_2
1	-566367.354975108872168	-566367.354975108872168	1	1	-1.000000000000000	0	0	0	6.000000000000000	9990000000000000.000000000000000	-1	22	0	0	4	2	0	4	0	2	0	3.119000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_7_2
2	-578875.781380352214910	-578875.781380352214910	1	1	-1.000000000000000	0	0	0	6.000000000000000	9980010000000000.000000000000000	17	-1	1	0	29	6	23	4	2	2	2	14.032000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_10_4_3_7_7_2
3	-578875.781380352214910	-578875.781380352214910	0	2	1.000000000000000	0	0	1	6.899999999999999	9970029990000000.000000000000000	-1	22	2	1	3	1	0	4	0	2	0	1.495000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_10_4_3_7_6_2
4	-587963.377793481689878	-587963.377793481689878	1	1	-1.000000000000000	0	0	0	6.000000000000000	9960059960010000.000000000000000	13	-1	2	0	29	6	23	4	2	2	2	8.813000000000001	5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_7_6_2
5	-587963.377793481689878	-587963.377793481689878	0	2	1.000000000000000	0	0	1	6.899999999999999	9950099900049990.000000000000000	-1	22	3	1	3	1	0	4	0	2	0	1.135000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_7_5_2
6	-596585.946405023103580	-596585.946405023103580	1	1	-1.000000000000000	0	0	0	6.000000000000000	9940149800149940.000000000000000	2	-1	2	0	30	6	23	4	2	2	2	7.496000000000000	5_5_5_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_7_5_2
7	-596774.255475995014422	-596774.255475995014422	1	1	-1.000000000000000	0	0	0	6.000000000000000	9930209650349790.000000000000000	-1	21	3	1	4	1	0	4	0	2	0	1.582000000000000	5_5_5_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_6_5_2
8	-606668.222584812552668	-606668.222584812552668	1	1	-1.000000000000000	0	0	0	6.000000000000000	9920279440699440.000000000000000	0	21	2	0	31	6	22	5	2	2	2	6.917000000000000	6_5_5_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_5_5_2
9	-615591.588497105170973	-615591.588497105170973	1	1	-1.000000000000000	0	0	0	6.000000000000000	9910359161258740.000000000000000	3	-1	2	0	32	6	22	5	2	2	2	7.479000000000000	6_5_5_3_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_5_5_2
10	-616046.152336463565007	-616046.152336463565007	1	1	-1.000000000000000	0	0	0	6.000000000000000	9900448802097482.000000000000000	-1	21	2	1	7	1	0	6	0	2	0	1.354000000000000	6_5_5_3_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_4_5_2
11	-624862.021005322458223	-624862.021005322458223	1	1	-1.000000000000000	0	0	0	6.000000000000000	9890548353295384.000000000000000	2	22	2	0	32	6	22	5	2	2	2	7.562000000000000	6_5_6_3_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_4_4_2
12	-632309.720024590613320	-632309.720024590613320	1	1	-1.000000000000000	0	0	0	6.000000000000000	9880657804942088.000000000000000	17	-1	2	0	31	6	22	4	2	2	2	7.586000000000000	6_5_6_3_3_3_4_2_2_2_1_3_5_6_4_5_3_5_10_4_3_4_4_2
13	-632094.666752137592994	-632309.720024590613320	0	2	0.999999999999978	0	0	1	6.899999999999999	9870777147137146.000000000000000	-1	18	2	1	5	1	0	3	0	2	0	1.300000000000000	6_5_6_3_3_3_4_2_2_2_1_3_5_6_4_5_3_5_9_4_3_4_4_2
14	-639976.395146675873548	-639976.395146675873548	1	1	-1.000000000000000	0	0	0	6.000000000000000	9860906369990008.000000000000000	0	-1	2	0	31	6	21	4	2	2	2	8.260999999999999	7_5_6_3_3_3_4_2_2_2_1_3_5_6_4_5_3_5_9_4_3_4_4_2
15	-639712.265554972575046	-639976.395146675873548	0	2	0.999999999999973	0	0	1	6.899999999999999	9851045463620018.000000000000000	-1	18	2	1	5	1	0	4	0	2	0	1.820000000000000	7_5_6_3_3_3_4_2_2_2_1_3_5_6_4_5_3_5_8_4_3_4_4_2
16	-647866.112226264318451	-647866.112226264318451	1	1	-1.000000000000000	0	0	0	6.000000000000000	9841194418156398.000000000000000	8	-1	2	0	31	6	22	4	2	2	2	9.379000000000000	7_5_6_3_3_3_4_2_3_2_1_3_5_6_4_5_3_5_8_4_3_4_4_2
17	-646550.855583748430945	-647866.112226264318451	0	2	0.999999999999866	0	0	1	6.899999999999999	9831353223738242.000000000000000	-1	18	2	1	6	1	0	5	0	2	0	1.527000000000000	7_5_6_3_3_3_4_2_3_2_1_3_5_6_4_5_3_5_7_4_3_4_4_2
18	-654149.772765308036469	-654149.772765308036469	1	1	-1.000000000000000	0	0	0	6.000000000000000	9821521870514504.000000000000000	13	-1	2	0	32	6	23	6	2	2	2	9.901000000000000	7_5_6_3_3_3_4_2_3_2_1_3_5_7_4_5_3_5_7_4_3_4_4_2
19	-651638.848641954711638	-654149.772765308036469	0	2	0.999999999999744	0	0	1	6.899999999999999	9811700348643990.000000000000000	-1	23	3	1	5	1	0	5	0	2	0	1.679000000000000	7_5_6_3_3_3_4_2_3_2_1_3_5_7_4_5_3_5_7_4_3_4_4_1
20	-657881.502775924745947	-657881.502775924745947	1	1	-1.000000000000000	0	0	0	6.000000000000000	9801888648295346.000000000000000	2	-1	2	0	31	6	22	5	2	2	2	10.740000000000000	7_5_7_3_3_3_4_2_3_2_1_3_5_7_4_5_3_5_7_4_3_4_4_1
21	-654786.161465324810706	-657881.502775924745947	0	2	0.999999999999684	0	0	1	6.899999999999999	9792086759647050.000000000000000	-1	18	3	1	4	1	0	4	0	2	0	2.074000000000000	7_5_7_3_3_3_4_2_3_2_1_3_5_7_4_5_3_5_6_4_3_4_4_1
22	-662192.140718878828920	-662192.140718878828920	1	1	-1.000000000000000	0	0	0	6.000000000000000	9782294672887402.000000000000000	8	-1	2	0	31	6	22	5	2	2	2	12.006000000000000	7_5_7_3_3_3_4_2_4_2_1_3_5_7_4_5_3_5_6_4_3_4_4_1
23	-662137.667491270694882	-662192.140718878828920	0	2	0.999999999999994	0	0	1	6.899999999999999	9772512378214514.000000000000000	-1	18	2	1	5	1	0	4	0	2	0	1.242000000000000	7_5_7_3_3_3_4_2_4_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1
24	-668753.524317944073118	-668753.524317944073118	1	1	-1.000000000000000	0	0	0	6.000000000000000	9762739865836300.000000000000000	3	-1	2	0	30	6	23	4	2	2	2	10.414000000000000	7_5_7_4_3_3_4_2_4_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1
25	-662364.825622651376761	-668753.524317944073118	0	2	0.999999999999346	0	0	1	6.899999999999999	9752977125970464.000000000000000	-1	0	3	1	3	1	0	3	0	2	0	1.703000000000000	6_5_7_4_3_3_4_2_4_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1
26	-668687.663208025391214	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9743224148844494.000000000000000	1	-1	2	0	30	6	22	4	2	2	2	7.266000000000000	6_6_7_4_3_3_4_2_4_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1
27	-661317.389793364331126	-668753.524317944073118	0	2	0.999999999999243	0	0	1	6.899999999999999	9733480924695650.000000000000000	-1	13	2	1	5	1	0	4	0	2	0	1.291000000000000	6_6_7_4_3_3_4_2_4_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1
28	-665562.729858119040728	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9723747443770954.000000000000000	2	-1	2	0	31	6	21	5	2	2	2	7.123000000000000	6_6_8_4_3_3_4_2_4_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1
29	-657997.919232050655410	-668753.524317944073118	0	2	0.999999999999222	0	0	1	6.899999999999999	9714023696327184.000000000000000	-1	8	3	1	4	1	0	4	0	2	0	1.079000000000000	6_6_8_4_3_3_4_2_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1
30	-663199.295894281240180	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9704309672630856.000000000000000	7	-1	2	0	31	6	21	5	2	2	2	6.865000000000000	6_6_8_4_3_3_4_3_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1
31	-654985.359967576339841	-668753.524317944073118	0	2	0.999999999999154	0	0	1	6.899999999999999	9694605362958226.000000000000000	-1	8	2	1	6	1	0	5	0	2	0	1.191000000000000	6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1
32	-661315.323310979525559	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9684910757595268.000000000000000	10	-1	2	0	31	6	22	5	2	2	2	8.230000000000000	6_6_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1
33	-655058.551286006229930	-668753.524317944073118	0	2	0.999999999999354	0	0	1	6.899999999999999	9675225846837672.000000000000000	-1	1	2	1	6	1	0	5	0	2	0	1.201000000000000	6_5_8_4_3_3_4_3_2_2_2_3_5_6_4_5_3_5_5_4_3_4_4_1
34	-662691.659739009919576	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9665550620990834.000000000000000	13	-1	2	0	31	6	22	5	2	2	2	8.303000000000001	6_5_8_4_3_3_4_3_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_1
35	-657984.040949183050543	-668753.524317944073118	0	2	0.999999999999513	0	0	1	6.899999999999999	9655885070369844.000000000000000	-1	2	2	1	5	1	0	4	0	2	0	1.220000000000000	6_5_7_4_3_3_4_3_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_1
36	-664796.515228545060381	-668753.524317944073118	0	1	-1.000000000000000	0	0	0	6.000000000000000	9646229185299474.000000000000000	0	-1	2	0	31	6	21	5	2	2	2	8.182000000000000	7_5_7_4_3_3_4_3_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_1
37	-658633.887321597081609	-668753.524317944073118	0	2	0.999999999999361	0	0	1	6.899999999999999	9636582956114174.000000000000000	-1	7	3	1	4	1	0	4	0	2	0	1.610000000000000	7_5_7_4_3_3_4_2_2_2_2_3_5_7_4_5_3_5_5_4_3_4_4_1
38	-669524.366938250605017	-669524.366938250605017	1	1	-1.000000000000000	0	0	0	6.000000000000000	9626946373158060.000000000000000	10	-1	2	0	30	6	21	4	2	2	2	10.366000000000000	7_5_7_4_3_3_4_2_2_2_3_3_5_7_4_5_3_5_5_4_3_4_4_1
