ID	Type	Line	Tail	Head	Time
265	2	1	192	69	0
266	1	1	30	193	0
267	2	1	193	30	0
268	1	1	21	194	0
269	2	1	194	21	0
270	1	1	89	195	0
271	2	1	195	89	0
272	1	1	25	196	0
273	2	1	196	25	0
274	1	1	11	197	0
275	2	1	197	11	0
276	1	1	90	198	0
277	2	1	198	90	0
278	1	1	98	199	0
279	2	1	199	98	0
280	1	1	83	200	0
281	2	1	200	83	0
282	1	1	3	201	0
283	2	1	201	3	0
284	1	1	74	202	0
285	2	1	202	74	0
286	1	1	35	203	0
287	2	1	203	35	0
288	1	1	36	204	0
289	2	1	204	36	0
290	1	1	59	205	0
291	2	1	205	59	0
292	1	1	96	206	0
293	2	1	206	96	0
294	1	1	42	207	0
295	2	1	207	42	0
296	1	1	78	208	0
297	2	1	208	78	0
298	1	1	77	209	0
299	2	1	209	77	0
300	1	1	100	210	0
301	2	1	210	100	0
302	1	1	76	211	0
303	2	1	211	76	0
304	1	1	47	212	0
305	2	1	212	47	0
306	1	1	51	213	0
307	2	1	213	51	0
308	1	1	92	214	0
309	2	1	214	92	0
310	1	1	12	215	0
311	2	1	215	12	0
312	1	1	53	216	0
313	2	1	216	53	0
314	1	1	50	217	0
315	2	1	217	50	0
316	1	1	28	218	0
317	2	1	218	28	0
318	1	1	17	219	0
319	2	1	219	17	0
320	1	1	60	220	0
321	2	1	220	60	0
322	1	1	66	221	0
323	2	1	221	66	0
324	1	1	81	222	0
325	2	1	222	81	0
326	1	1	27	223	0
327	2	1	223	27	0
328	1	1	33	224	0
329	2	1	224	33	0
330	1	1	75	225	0
331	2	1	225	75	0
332	1	1	2	226	0
333	2	1	226	2	0
334	0	2	227	228	2
335	0	2	228	229	1
336	0	2	229	230	1
337	0	2	230	231	2
338	0	2	231	232	0
339	0	2	232	233	1
340	0	2	233	234	1
341	0	2	234	235	1
342	0	2	235	236	1
343	0	2	236	237	2
344	0	2	237	238	2
345	0	2	238	239	1
346	0	2	239	240	1
347	0	2	240	241	1
348	0	2	241	242	1
